;Titles;Runtime;Genre;Director
0;Ojciec chrzestny;175;Crime, Drama;Francis Ford Coppola
1;Lista Schindlera;195;Biography, Drama, History;Steven Spielberg
2;Dwunastu gniewnych ludzi;96;Crime, Drama;Sidney Lumet
3;Życie jest piękne;116;Comedy, Drama, Romance;Roberto Benigni
4;Dobry, zły i brzydki;161;Western;Sergio Leone
5;Skazani na Shawshank;142;Drama;Frank Darabont
6;W pogoni za szczęściem;117;Biography, Drama;Gabriele Muccino
7;Siedmiu samurajów;207;Action, Adventure, Drama;Akira Kurosawa
8;Nietykalni;112;Biography, Comedy, Drama;Olivier Nakache
9;Dworzec nadziei;110;Drama;Walter Salles
10;Requiem dla snu;102;Drama;Darren Aronofsky
11;Piękny umysł;135;Biography, Drama;Ron Howard
12;Mój przyjaciel Hachiko;93;Drama, Family;Lasse Hallström
13;Uprowadzona;90;Action, Thriller;Pierre Morel
14;Yeopgijeogin geunyeo;137;Comedy, Drama, Romance;Jae-young Kwak
15;Amores perros;154;Drama, Thriller;Alejandro G. Iñárritu
16;Lśnienie;146;Drama, Horror;Stanley Kubrick
17;Apocalypto;139;Action, Adventure, Drama;Mel Gibson
18;Gladiator;155;Action, Adventure, Drama;Ridley Scott
19;Cast Away: Poza światem;143;Adventure, Drama, Romance;Robert Zemeckis
20;Mroczny rycerz;152;Action, Crime, Drama;Christopher Nolan
21;Pianista;150;Biography, Drama, Music;Roman Polanski
22;Titanic;194;Drama, Romance;James Cameron
23;Pusty dom;88;Crime, Drama, Romance;Ki-duk Kim
24;Braveheart - Waleczne Serce;178;Biography, Drama, History;Mel Gibson
25;To wspaniałe życie;130;Drama, Family, Fantasy;Frank Capra
26;Wiosna, lato, jesień, zima... i wiosna;103;Drama, Romance;Ki-duk Kim
27;Obcy - 8. pasażer Nostromo;117;Horror, Sci-Fi;Ridley Scott
28;Zagadka zbrodni;131;Action, Crime, Drama;Bong Joon Ho
29;Powrót;110;Drama;Andrey Zvyagintsev
30;Ujrzałem diabła;144;Action, Crime, Drama;Jee-woon Kim
31;Dzieci niebios;89;Drama, Family, Sport;Majid Majidi
32;Rozstanie;123;Drama;Asghar Farhadi
33;Szósty zmysł;107;Drama, Mystery, Thriller;M. Night Shyamalan
34;Nae meorisokui jiwoogae;144;Drama, Romance;John H. Lee
35;Pożegnania;130;Drama, Music;Yôjirô Takita
36;Droga do domu;89;Drama, History, Romance;Yimou Zhang
37;Szeregowiec Ryan;169;Drama, War;Steven Spielberg
38;Most na rzece Kwai;161;Adventure, Drama, War;David Lean
39;Ben Hur;212;Adventure, Drama, History;William Wyler
40;Egzorcysta;122;Horror;William Friedkin
41;Sekret jej oczu;129;Drama, Mystery, Romance;Juan José Campanella
42;Léon zawodowiec;110;Action, Crime, Drama;Luc Besson
43;Zielona mila;189;Crime, Drama, Fantasy;Frank Darabont
44;Gran Torino;116;Drama;Clint Eastwood
45;Kill Bill;111;Action, Crime, Thriller;Quentin Tarantino
46;Park jurajski;127;Action, Adventure, Sci-Fi;Steven Spielberg
47;Terminator 2: Dzień sądu;137;Action, Sci-Fi;James Cameron
48;Powrót do przyszłości;116;Adventure, Comedy, Sci-Fi;Robert Zemeckis
49;Gdzie jest Nemo?;100;Animation, Adventure, Comedy;Andrew Stanton
